,PDB ID,Drug IDs
380,1I15,DB00246; DB00248; DB00268; DB00334; DB00363; DB00391; DB00408; DB00409; DB00413; DB00420; DB00433; DB00450; DB00477; DB00490; DB00502; DB00508; DB00589; DB00623; DB00679; DB00714; DB00734; DB00831; DB00850; DB00875; DB00915; DB00933; DB00988; DB01038; DB01063; DB01100; DB01184; DB01186; DB01200; DB01224; DB01233; DB01235; DB01238; DB01239; DB01267; DB01403; DB01425; DB01614; DB01618; DB01621; DB01622; DB01623; DB01624; DB04842; DB04946; DB05271; DB06077; DB06144; DB06216; DB06288; DB08815; DB08922; DB09018; DB09223; DB09224; DB09225; DB11274; DB12579; DB13025; DB14185
381,1LBN,DB01207
382,3NFL,DB00949; DB01520
383,1JCN,DB00688; DB00811; DB01024
386,1DNQ,DB00002; DB00317; DB00530; DB01259; DB01269; DB08916; DB09330; DB09559; DB10772; DB11828; DB11963; DB12202; DB12267; DB13164; DB15327; DB16390; DB16695
388,1CF4,DB18236
390,1JMJ,DB00407; DB06271
391,1YQ7,DB00282; DB00399; DB00630; DB00710; DB00884; DB06548
392,2XIJ,DB00115; DB00200
393,1DB1,DB00136; DB00146; DB00153; DB00169; DB00910; DB01070; DB01436
394,2DFD,DB09092
395,2AFL,DB00753; DB01028; DB01189; DB06637; DB11640
396,2IIP,DB00627
397,2CBZ,DB01138
399,1L2J,DB00255; DB00286; DB00481; DB00675; DB00783; DB01108; DB01196; DB06202; DB13952; DB13953; DB13954; DB13955; DB13956
400,1AZ7,DB00019; DB00099; DB13144; DB13200; DB15001; DB18704
401,1M2Z,DB00180; DB00223; DB00240; DB00253; DB00288; DB00324; DB00394; DB00443; DB00547; DB00588; DB00591; DB00596; DB00620; DB00635; DB00663; DB00741; DB00764; DB00769; DB00834; DB00838; DB00846; DB00860; DB00896; DB00959; DB01013; DB01047; DB01130; DB01222; DB01234; DB01260; DB01380; DB01384; DB01410; DB06781; DB08867; DB08906; DB09091; DB09095; DB13158; DB13867; DB14512; DB14538; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544; DB14596; DB14649; DB15566
403,2G1X,DB00216; DB00315; DB00320; DB00669; DB00696; DB00952; DB00953; DB00998; DB09068
404,1ZVT,DB00817; DB11943; DB12924
405,1AJ6,DB00817
406,1B3N,DB01034
407,1DD8,DB01034
408,3QNT,DB00973
409,1AJ0,DB00259; DB00263; DB00576; DB00634; DB01015; DB01298; DB01581; DB01582; DB06729; DB06821; DB14033
410,1FFY,DB00410
413,2QLY,DB00284; DB00491; DB04878
414,1A07,DB01254; DB06137; DB06616
415,1A0N,DB01254
416,2HDA,DB01254
417,1MQB,DB01254; DB08896
418,1BHF,DB01254
421,1LT7,DB06756
422,1I85,DB00098; DB01281; DB06681
423,1DR9,DB01281; DB04901; DB06681
425,2GVT,DB00184; DB01273
426,2GVT,DB00184
427,1GQ5,DB00619; DB01268; DB06043; DB06589; DB06595; DB08896; DB09078; DB09079; DB10772; DB14840
428,2I0V,DB01268; DB12978
429,1J2E,DB01261; DB04876; DB06203; DB06335; DB08382; DB08882
430,1CFA,DB00028; DB01257; DB11580; DB15165; DB15218; DB15636
432,3C59,DB01276; DB06655; DB09043; DB09045; DB09265; DB13928; DB14027; DB15171
433,1IGR,DB01277; DB09098; DB11840; DB14751
434,2YX8,DB01278
435,2XVT,DB01278
438,1HY9,DB00182
439,1S9J,DB05239; DB06616; DB08911; DB11689; DB11967
443,1MEJ,DB00642
444,1AH1,DB06186; DB11771
446,3EPZ,DB00928; DB01262
448,1E4J,DB00028; DB06607
449,1H4O,DB00995
450,1ND8,DB04835
452,1FYR,DB08865; DB08875; DB11791; DB15133; DB16695
453,1ALU,DB09036; DB10772; DB13127
454,2K03,DB06809; DB12018; DB14939
455,1AYK,DB00786
456,1PME,DB01169
